Time,TimeIndex,CPU
12:22:05,1,30.9
12:22:07,2,30.1
12:22:08,3,32.8
12:22:09,4,31.1
12:22:10,5,47.7
12:22:11,6,29.7
12:22:12,7,28.2
12:22:13,8,29.8
12:22:14,9,23.2
12:22:15,10,13.1
12:22:16,11,34.6
12:22:17,12,11.9
12:22:18,13,8.6
12:22:19,14,15.4
12:22:20,15,12.9
12:22:21,16,11.1
12:22:22,17,47.9
12:22:23,18,28
12:22:24,19,26.8
12:22:25,20,29.2
12:22:26,21,7.8
12:22:27,22,10.8
12:22:28,23,25.8
12:22:29,24,10.1
12:22:30,25,25.5
12:22:31,26,10.5
12:22:32,27,15.7
12:22:33,28,14.3
12:22:34,29,26.1
12:22:35,30,11.2
12:22:36,31,14.6
12:22:37,32,14.7
12:22:38,33,14.4
12:22:39,34,13.1
12:22:40,35,21.6
12:22:41,36,11.6
12:22:42,37,9.3
12:22:43,38,12.1
12:22:44,39,16
12:22:45,40,18.1
12:22:46,41,21.4
12:22:47,42,14.8
12:22:48,43,11.3
12:22:49,44,8.6
12:22:50,45,14.3
12:22:51,46,21.8
12:22:52,47,16.2
12:22:53,48,8.6
12:22:54,49,48.7
12:22:55,50,32.7
12:22:56,51,23.8
12:22:57,52,27.6
12:22:58,53,20.8
12:22:59,54,11.6
12:23:00,55,15.2
12:23:01,56,15.1
12:23:02,57,11.6
12:23:03,58,23.6
12:23:04,59,23.2
12:23:05,60,11.6
12:23:06,61,12.7
12:23:07,62,12
12:23:08,63,11.2
12:23:09,64,23.2
12:23:10,65,22.6
12:23:11,66,12.3
12:23:12,67,13.2
12:23:13,68,12.6
12:23:14,69,17.4
12:23:15,70,19.6
12:23:16,71,22.2
12:23:17,72,22.1
12:23:18,73,18.5
12:23:19,74,10.5
12:23:20,75,26.8
12:23:21,76,21.7
12:23:22,77,37.7
12:23:23,78,27.3
12:23:24,79,45.5
12:23:25,80,37.3
12:23:26,81,26.4
12:23:27,82,76.3
12:23:28,83,47.1
12:23:29,84,26.2
12:23:30,85,34.1
12:23:31,86,26.4
12:23:32,87,8.5
12:23:33,88,21.8
12:23:34,89,12
12:23:35,90,10.9
12:23:36,91,18.9
12:23:37,92,11.9
12:23:38,93,11.2
12:23:39,94,29.6
12:23:40,95,12.4
12:23:41,96,12
12:23:42,97,14
12:23:43,98,10.1
12:23:44,99,17.1
12:23:45,100,37.3
12:23:46,101,15.6
12:23:47,102,10.8
12:23:48,103,9.7
12:23:49,104,9.3
12:23:50,105,13.5
12:23:51,106,34.6
12:23:52,107,14
12:23:53,108,11.2
12:23:54,109,28.7
12:23:55,110,37.6
12:23:56,111,10.8
12:23:57,112,33.8
12:23:58,113,26.4
12:23:59,114,22.8
12:24:00,115,15.6
12:24:01,116,6.2
12:24:02,117,10.5
12:24:03,118,21.4
12:24:04,119,22.3
12:24:05,120,10.5
12:24:06,121,13.5
12:24:07,122,13.2
12:24:08,123,13.5
12:24:09,124,19.6
12:24:10,125,18.9
12:24:11,126,8.2
12:24:12,127,9.8
12:24:13,128,9.4
12:24:14,129,10.1
12:24:15,130,17.8
12:24:16,131,26.4
12:24:17,132,11.2
12:24:18,133,17.6
12:24:19,134,16.9
12:24:20,135,10.4
12:24:21,136,20.3
12:24:22,137,45.6
12:24:23,138,28.6
12:24:24,139,28
12:24:25,140,26.8
