Time,CPU
19:18:41,32
19:18:43,27.7
19:18:44,37.2
19:18:45,47.9
19:18:46,31.2
19:18:47,27.7
19:18:48,27.2
19:18:49,7.8
19:18:50,16.6
19:18:51,27
19:18:52,28.8
19:18:53,7.4
19:18:54,6.6
19:18:55,14.3
19:18:56,14.5
19:18:57,24.4
19:18:58,13.5
19:18:59,17.6
19:19:00,20.7
19:19:01,9.7
19:19:02,21.1
19:19:03,23.9
19:19:04,8.2
19:19:05,11.6
19:19:06,12.5
19:19:07,12.4
19:19:08,17.8
19:19:09,21.1
19:19:10,8.9
19:19:11,7.4
19:19:12,11.7
19:19:13,7.8
19:19:14,18.7
19:19:15,29.2
19:19:16,10.5
19:19:17,10.5
19:19:18,7.4
19:19:19,9.7
19:19:20,19.5
19:19:21,32.7
19:19:22,18.7
19:19:23,27.5
19:19:24,28
19:19:25,28.8
19:19:26,17.8
19:19:27,25.2
19:19:28,10.1
19:19:29,7.4
19:19:30,24.1
19:19:31,11.3
19:19:32,15.2
19:19:33,40.1
19:19:34,27.3
19:19:35,19.8
19:19:36,41.3
19:19:37,11.2
19:19:38,12.1
19:19:39,34.1
19:19:40,9.4
19:19:41,11.6
19:19:42,9.6
19:19:43,10.9
19:19:44,16
19:19:45,31.1
19:19:46,11.3
19:19:47,11.7
19:19:48,9
19:19:49,8.2
19:19:50,7.8
19:19:51,26.4
19:19:52,26.5
19:19:53,27.9
19:19:54,28.4
19:19:55,27.9
19:19:56,27.6
19:19:57,48.6
19:19:58,19.8
19:19:59,6.6
19:20:00,13.9
19:20:01,10.9
19:20:02,10.9
19:20:03,31.6
19:20:04,10.2
19:20:05,9.7
19:20:06,8.6
19:20:07,10.5
19:20:08,10.5
19:20:09,29.2
19:20:10,8.6
19:20:11,9.7
19:20:12,11.6
19:20:13,7.3
19:20:14,12
19:20:15,31.5
19:20:16,10.5
19:20:17,6.6
19:20:18,16.7
19:20:19,11.3
19:20:20,12.8
19:20:21,33.3
19:20:22,26.5
19:20:23,28.7
19:20:24,30.1
19:20:25,27.3
19:20:26,11.7
19:20:27,25.3
19:20:28,14.3
19:20:29,10.6
19:20:30,27.9
19:20:31,8.2
19:20:32,9.7
19:20:33,30.7
19:20:34,21.8
19:20:35,7.8
19:20:36,31.4
19:20:37,19.5
19:20:38,9.4
19:20:39,24
19:20:40,17.8
19:20:41,10.5
19:20:42,10.9
19:20:43,10.5
19:20:44,7.8
19:20:45,25.7
19:20:46,20.2
19:20:47,11.7
19:20:48,9.4
19:20:49,16.3
19:20:50,8.1
19:20:51,23.8
19:20:52,11.7
19:20:53,8.2
19:20:54,7.4
19:20:55,8.5
19:20:56,9
19:20:57,29
19:20:58,34.2
19:20:59,43.3
19:21:00,100
19:21:01,65.6
19:21:02,29.1
19:21:03,59.7
19:21:04,33
19:21:05,26.2
19:21:06,22.5
19:21:07,20.8
19:21:08,61.7
19:21:09,52.9
19:21:10,25.6
19:21:11,23.4
19:21:12,43
19:21:13,49.8
